tag_id,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg,is_duplicate
UNKNOWN,Gentoo,44.67,16.92,216.9,3442.381243095952,Adult,FEMALE,Biscoe West,Biscoe,1900-01-01,Underweight,PAPRI2022,yes,2022-03-13,True
ADE-0004,Adelie,38.96,21.0,170.0,2500.0,Chick,MALE,Shortcut Point,Torgersen,2023-01-18,Underweight,PAPRI2023,yes,2023-01-08,False
ADE-0005,Adelie,33.41,18.39,195.0,3355.0,Adult,MALE,Torgersen North,Torgersen,2020-02-23,Healthy,PAPRI2020,yes,2020-02-16,False
UNKNOWN,Adelie,40.94,17.04,199.1,3279.0,Adult,MALE,Dream South,Dream,2022-12-24,Healthy,PAPRI2022,yes,2022-12-12,False
UNKNOWN,Chinstrap,40.56,18.62,192.5,2500.0,Chick,FEMALE,Torgersen North,Torgersen,2022-01-19,Underweight,PAPRI2022,yes,2022-01-09,False
GEN-0007,UNKNOWN,47.8,14.2,207.7,2866.0,Chick,FEMALE,Shortcut Point,Shortcut,2024-03-27,Underweight,UNKNOWN,yes,2024-03-24,False
GEN-0008,Gentoo,49.11,13.7,220.7,5182.0,Adult,MALE,Dream South,Dream,2024-08-25,UNKNOWN,PAPRI2024,yes,2024-08-12,False
UNKNOWN,Gentoo,45.16668133802817,14.41,221.9,3742.0,Adult,MALE,Torgersen North,Torgersen,2019-10-31,Healthy,PAPRI2019,UNKNOWN,1900-01-01,False
ADE-0006,Adelie,42.48,21.0,187.9,3456.0,Adult,FEMALE,Torgersen North,Torgersen,2024-10-22,Overweight,PAPRI2024,yes,2024-10-16,False
CHN-0004,Chinstrap,49.66,19.75,187.3,3857.0416833324625,Adult,MALE,Shortcut Point,Shortcut,1900-01-01,Underweight,PAPRI2020,yes,2020-08-13,False
UNKNOWN,UNKNOWN,45.04,16.26,218.4,3364.0,Chick,MALE,Biscoe West,Biscoe,2023-01-09,Underweight,PAPRI2023,yes,2023-01-01,False
UNKNOWN,Adelie,39.59,17.33,202.1,3842.0,Adult,MALE,Torgersen North,Torgersen,2020-02-18,Healthy,UNKNOWN,yes,2020-02-15,False
UNKNOWN,Chinstrap,51.22,16.97,190.7,3431.92,Juvenile,MALE,Torgersen North,Torgersen,2023-03-22,UNKNOWN,PAPRI2023,yes,2023-03-13,True
GEN-0009,Gentoo,50.39,15.3,199.315,3842.084374791102,Juvenile,MALE,Dream South,Dream,1900-01-01,Healthy,PAPRI2021,yes,2021-06-25,True
GEN-0010,Gentoo,43.39,13.87,222.3,4904.0,Adult,MALE,UNKNOWN,Torgersen,1900-01-01,Sick,PAPRI2020,yes,2020-02-23,True
GEN-0011,Gentoo,47.54,17.72,215.4,3842.084374791102,Adult,MALE,Torgersen North,UNKNOWN,2024-09-04,Healthy,UNKNOWN,UNKNOWN,2024-08-28,False
UNKNOWN,Gentoo,44.61,15.97,217.3,4945.0,Adult,MALE,Biscoe West,UNKNOWN,2023-06-01,Healthy,PAPRI2023,yes,2023-05-24,False
CHN-0005,Chinstrap,48.06,16.6,199.3,2941.0,Juvenile,MALE,Torgersen North,Shortcut,2021-03-25,Underweight,PAPRI2021,no,1900-01-01,False
UNKNOWN,Adelie,37.58,19.57,196.8,3597.0,Adult,MALE,Torgersen North,Torgersen,2020-11-20,Healthy,UNKNOWN,yes,2020-11-12,False
CHN-0006,Chinstrap,45.16668133802817,16.51,197.2,3632.0,Adult,FEMALE,Biscoe West,Torgersen,2024-05-25,Healthy,PAPRI2024,UNKNOWN,2024-05-13,False
ADE-0007,Adelie,37.33,17.19,196.9,2972.0,Juvenile,MALE,Biscoe West,Biscoe,2022-11-03,UNKNOWN,PAPRI2022,yes,2022-11-02,False
ADE-0008,Adelie,34.8,19.98,181.0,3590.0,Adult,MALE,Shortcut Point,Shortcut,2024-06-05,Overweight,PAPRI2024,yes,2024-05-30,False
ADE-0009,Adelie,45.16668133802817,18.79,190.2,3962.0,Adult,MALE,Torgersen North,Torgersen,2024-07-28,Underweight,PAPRI2024,yes,2024-07-25,False
UNKNOWN,Gentoo,54.95,16.16,222.7,5261.0,Adult,MALE,Torgersen North,Torgersen,1900-01-01,Sick,PAPRI2022,no,1900-01-01,True
ADE-0010,Adelie,35.69,17.485,191.1,3443.0,Adult,MALE,Cormorant East,Cormorant,2024-09-09,Healthy,PAPRI2024,yes,2024-08-26,False
CHN-0007,Chinstrap,56.44,15.76,200.8,3184.0,Adult,MALE,Cormorant East,Cormorant,2023-11-14,Underweight,PAPRI2023,yes,2023-11-02,False
UNKNOWN,Gentoo,45.16668133802817,14.4,226.4,4839.27,Adult,MALE,Torgersen North,Torgersen,2020-12-29,Healthy,PAPRI2020,yes,2020-12-24,False
UNKNOWN,Chinstrap,46.39,18.85,196.3,3666.0,Adult,MALE,Cormorant East,Cormorant,2021-12-25,Overweight,UNKNOWN,yes,2021-12-13,False
UNKNOWN,Chinstrap,53.3,19.83,196.1,3841.0,Adult,MALE,Dream South,Dream,2024-06-23,Healthy,PAPRI2024,yes,2024-06-22,False
UNKNOWN,Chinstrap,46.62,19.86,199.315,3846.0,Adult,MALE,Torgersen North,Torgersen,2023-02-03,UNKNOWN,PAPRI2023,yes,2023-01-29,False
CHN-0008,Chinstrap,46.25,21.0,193.7,3778.0,Adult,MALE,Biscoe West,Biscoe,2021-03-05,Overweight,PAPRI2021,yes,2021-02-19,False
GEN-0012,Gentoo,52.8,17.485,209.4,5367.0,Adult,MALE,Biscoe West,Biscoe,2020-11-07,Healthy,UNKNOWN,no,1900-01-01,False
CHN-0009,Chinstrap,50.05,21.0,214.69,4075.0,Adult,MALE,Biscoe West,Biscoe,2022-08-04,Overweight,PAPRI2022,yes,2022-07-29,False
GEN-0013,Gentoo,51.3,13.95,219.7,4035.0,Juvenile,FEMALE,Torgersen North,UNKNOWN,2023-07-19,Healthy,UNKNOWN,UNKNOWN,2023-07-10,False
CHN-0010,Chinstrap,48.74,17.01,186.9,3842.084374791102,Adult,MALE,Dream South,Dream,2022-02-27,Healthy,PAPRI2022,yes,2022-02-22,False
UNKNOWN,Chinstrap,46.31,17.485,192.9,3742.0,Adult,MALE,Dream South,UNKNOWN,1900-01-01,Healthy,PAPRI2024,yes,2024-03-11,True
UNKNOWN,UNKNOWN,47.68,17.62,199.315,3742.0,Adult,MALE,Torgersen North,Torgersen,2021-08-17,Healthy,PAPRI2021,UNKNOWN,2021-08-14,False
GEN-0014,Gentoo,48.1,14.08,217.4,5088.0,Adult,MALE,Dream South,Dream,2021-02-13,Healthy,PAPRI2021,no,1900-01-01,False
ADE-0011,Adelie,33.68,20.32,186.0,4333.0,Adult,MALE,Dream South,Dream,2023-10-11,Overweight,PAPRI2023,yes,2023-10-08,False
UNKNOWN,Adelie,32.0,19.28,199.315,2500.0,Chick,MALE,Biscoe West,Biscoe,1900-01-01,Underweight,UNKNOWN,yes,2024-01-22,True
ADE-0012,Adelie,41.19,17.7,186.0,3773.0,Adult,MALE,Cormorant East,Cormorant,2024-11-21,Healthy,PAPRI2024,yes,2024-11-09,False
CHN-0011,Chinstrap,51.77,18.99,201.7,3901.0,UNKNOWN,MALE,Biscoe West,Biscoe,1900-01-01,Overweight,PAPRI2023,yes,2023-12-14,False
GEN-0015,Gentoo,49.16,13.95,206.3,4737.0,Adult,MALE,Dream South,Dream,2023-12-02,Healthy,PAPRI2023,yes,2023-11-20,False
ADE-0013,Adelie,40.28,18.1,188.6,3224.0,Juvenile,MALE,UNKNOWN,Cormorant,1900-01-01,UNKNOWN,PAPRI2022,yes,2022-06-18,True
UNKNOWN,Gentoo,46.28,15.11,217.1,4513.0,Juvenile,MALE,Torgersen North,Torgersen,2020-07-10,Healthy,PAPRI2021,no,1900-01-01,False
GEN-0017,Gentoo,45.16668133802817,14.43,218.9,4701.0,Adult,FEMALE,Torgersen North,Torgersen,2022-01-29,Overweight,PAPRI2022,no,1900-01-01,False
GEN-0018,Gentoo,53.24,16.08,206.2,2893.0,UNKNOWN,MALE,Shortcut Point,UNKNOWN,2022-12-23,Underweight,PAPRI2022,yes,2022-12-18,False
UNKNOWN,Chinstrap,52.62,19.77,200.4,3070.060445692318,Adult,MALE,UNKNOWN,Cormorant,2022-02-05,Overweight,PAPRI2022,yes,2022-01-24,True
UNKNOWN,Gentoo,50.77,14.79,199.315,5423.0,Adult,FEMALE,Cormorant East,Cormorant,2019-11-29,Overweight,PAPRI2019,no,1900-01-01,True
UNKNOWN,Chinstrap,46.08,17.99,198.9,3520.0,Adult,MALE,Biscoe West,UNKNOWN,2023-03-28,Healthy,PAPRI2023,yes,2023-03-19,False
GEN-0019,Gentoo,46.2,15.04,199.315,3049.0,Chick,FEMALE,Biscoe West,Biscoe,2020-10-07,Overweight,UNKNOWN,yes,2020-09-30,False
CHN-0012,Chinstrap,44.02,16.25,170.0,3450.0,Adult,FEMALE,Dream South,Dream,2021-02-28,Healthy,PAPRI2021,yes,2021-02-17,False
GEN-0020,Gentoo,41.39,16.68,199.315,5248.0,Adult,MALE,Torgersen North,Torgersen,2024-02-16,Healthy,PAPRI2024,yes,2024-02-16,False
ADE-0014,UNKNOWN,39.67,17.16,193.4,2621.0,Chick,MALE,Torgersen North,Torgersen,1900-01-01,Underweight,PAPRI2022,no,1900-01-01,False
UNKNOWN,Chinstrap,44.03,17.15,193.6,4039.0,Adult,MALE,Biscoe West,Biscoe,2024-02-09,Overweight,PAPRI2024,no,1900-01-01,False
UNKNOWN,Gentoo,48.17,14.82,217.6,4691.0,Adult,MALE,Torgersen North,Dream,2021-11-07,Healthy,PAPRI2021,no,1900-01-01,False
UNKNOWN,Gentoo,54.33,15.29,214.4,5457.0,Adult,FEMALE,UNKNOWN,UNKNOWN,2024-07-07,Healthy,PAPRI2024,UNKNOWN,2024-06-25,False
GEN-0021,Gentoo,50.12,15.49,230.0,4443.0,Adult,FEMALE,Cormorant East,Cormorant,2024-04-08,Healthy,PAPRI2020,yes,2020-02-06,False
CHN-0013,Chinstrap,48.28,16.33,203.2,3842.084374791102,Juvenile,MALE,UNKNOWN,Cormorant,2023-04-24,Underweight,PAPRI2023,yes,2023-04-22,False
CHN-0014,Chinstrap,45.16668133802817,21.0,202.7,3515.0,Adult,MALE,Torgersen North,Torgersen,1900-01-01,Healthy,PAPRI2023,yes,2023-03-08,False
CHN-0015,Chinstrap,51.25,20.86,200.9,2500.0,Adult,MALE,Dream South,Dream,2024-05-28,Healthy,PAPRI2020,no,1900-01-01,False
ADE-0015,Adelie,41.98,17.7,178.9,4106.0,Adult,MALE,Cormorant East,Cormorant,2021-08-19,Healthy,UNKNOWN,no,1900-01-01,False
CHN-0016,Chinstrap,52.79,18.95,178.8,2503.963950376362,Adult,MALE,Biscoe West,UNKNOWN,2023-09-06,Underweight,PAPRI2023,yes,2023-08-29,False
UNKNOWN,Adelie,38.81,18.47,187.1,4081.0,Adult,MALE,Torgersen North,Torgersen,2023-08-15,Healthy,PAPRI2023,yes,2023-08-08,False
ADE-0016,Adelie,35.1,19.2,196.9,3330.0,Juvenile,MALE,Torgersen North,Torgersen,2021-06-19,Healthy,PAPRI2021,yes,2021-06-11,False
GEN-0022,UNKNOWN,48.15,13.9,226.3,5046.0,Adult,MALE,Dream South,Dream,1900-01-01,Healthy,PAPRI2021,yes,2021-09-16,False
ADE-0017,Adelie,39.26,20.13,196.7,3842.084374791102,Juvenile,MALE,Torgersen North,Torgersen,2020-10-27,Healthy,PAPRI2020,yes,2020-10-16,False
GEN-0023,Gentoo,52.22,16.44,211.2,3842.084374791102,Adult,MALE,Shortcut Point,Shortcut,2024-06-01,Overweight,PAPRI2024,yes,2024-05-30,False
UNKNOWN,Chinstrap,43.09,20.81,202.2,3839.0,Adult,MALE,Torgersen North,Torgersen,2022-11-07,Healthy,PAPRI2022,yes,2022-10-28,False
UNKNOWN,Chinstrap,54.46,18.72,192.61,3858.2201128413594,Chick,FEMALE,Torgersen North,Torgersen,2022-03-21,Underweight,PAPRI2021,no,1900-01-01,False
CHN-0017,Chinstrap,48.75,19.77,194.0,2500.0,Chick,MALE,Torgersen North,Torgersen,2020-08-06,Underweight,PAPRI2020,no,1900-01-01,False
ADE-0018,Adelie,33.22,18.27,181.5,3121.0,Juvenile,MALE,UNKNOWN,Shortcut,2023-02-23,Underweight,PAPRI2023,UNKNOWN,2023-02-11,False
GEN-0024,Gentoo,44.2,15.39,221.5,4640.0,Adult,MALE,Dream South,Cormorant,2021-06-17,Healthy,PAPRI2021,UNKNOWN,2021-06-06,False
ADE-0019,UNKNOWN,41.19,19.16,186.6,2908.0,Juvenile,MALE,Shortcut Point,Shortcut,2020-08-17,Underweight,PAPRI2020,yes,2020-08-15,False
ADE-0020,Adelie,34.93,18.11,190.4,2597.1653709303077,Adult,MALE,Dream South,Dream,2024-05-24,Healthy,UNKNOWN,yes,2021-01-04,False
CHN-0018,Chinstrap,42.2,18.84,195.2,3049.0,Juvenile,MALE,Torgersen North,Torgersen,2022-02-17,Underweight,PAPRI2022,yes,2022-02-15,False
CHN-0019,Chinstrap,56.02,19.43,192.2,2500.0,Adult,FEMALE,UNKNOWN,UNKNOWN,2023-01-31,Critical,PAPRI2023,yes,2023-01-27,False
UNKNOWN,UNKNOWN,43.8,20.69,207.5,3620.0,Adult,MALE,Torgersen North,Torgersen,2021-04-10,Healthy,PAPRI2022,yes,2021-04-09,False
UNKNOWN,Gentoo,55.74,13.61,208.09,5118.0,Adult,FEMALE,Cormorant East,UNKNOWN,2019-11-22,Healthy,PAPRI2019,yes,2019-11-09,False
GEN-0025,Gentoo,47.12,13.65,217.34,2500.0,Chick,MALE,Biscoe West,Biscoe,2024-05-09,Underweight,UNKNOWN,yes,2024-04-27,False
ADE-0021,Adelie,38.3,16.42,183.1,3842.084374791102,Adult,MALE,Dream South,Dream,2020-10-06,Healthy,PAPRI2022,yes,2020-09-23,False
CHN-0021,Chinstrap,54.37,19.91,195.9,3965.0,Adult,FEMALE,Shortcut Point,Shortcut,2023-07-04,Overweight,PAPRI2023,yes,2023-06-28,False
GEN-0026,Gentoo,54.62,16.02,214.4,5914.0,Adult,MALE,Dream South,UNKNOWN,2022-04-19,Healthy,PAPRI2022,yes,2022-04-18,False
CHN-0022,Chinstrap,45.91,16.29,202.5,4095.0,Adult,FEMALE,Cormorant East,Cormorant,2022-01-24,Healthy,UNKNOWN,yes,2022-01-17,False
UNKNOWN,Gentoo,47.58,15.57,214.8,3090.0,Chick,MALE,Dream South,Dream,2024-12-12,Underweight,PAPRI2024,UNKNOWN,2024-12-05,False
ADE-0022,Adelie,45.16668133802817,17.67,186.1,3441.0,Adult,MALE,Torgersen North,UNKNOWN,2023-09-23,Healthy,UNKNOWN,yes,2023-09-15,False
CHN-0023,Chinstrap,40.54,19.6,198.7,3673.0,Adult,MALE,Torgersen North,Torgersen,2022-05-03,Healthy,UNKNOWN,no,1900-01-01,False
UNKNOWN,Chinstrap,43.49,19.71,199.5,2710.0,Juvenile,MALE,Shortcut Point,Shortcut,2022-01-28,Underweight,PAPRI2022,no,1900-01-01,False
CHN-0024,Chinstrap,55.54,21.0,197.63,3456.0,Adult,FEMALE,Biscoe West,Biscoe,2022-08-06,Underweight,PAPRI2022,yes,2022-08-05,False
UNKNOWN,Chinstrap,46.28,15.61,184.6,3842.084374791102,Adult,FEMALE,Cormorant East,UNKNOWN,2024-05-07,Healthy,PAPRI2024,yes,2024-04-28,False
UNKNOWN,Gentoo,42.93,15.76,210.2,4086.0,Juvenile,MALE,Dream South,Dream,1900-01-01,Healthy,PAPRI2021,yes,2021-08-31,True
CHN-0025,Chinstrap,46.65,18.58,190.0,3577.0,Adult,MALE,Biscoe West,Shortcut,1900-01-01,Underweight,PAPRI2021,yes,2021-01-20,False
UNKNOWN,Chinstrap,45.16668133802817,19.72,203.7,3842.084374791102,Adult,MALE,Shortcut Point,Torgersen,1900-01-01,Underweight,PAPRI2024,yes,2024-04-06,True
UNKNOWN,Gentoo,40.09,13.84,220.5,4673.0,Adult,FEMALE,Shortcut Point,Shortcut,2024-08-16,UNKNOWN,PAPRI2024,no,1900-01-01,True
UNKNOWN,Gentoo,48.01,14.91,219.9,3548.0,Chick,MALE,Shortcut Point,UNKNOWN,2020-03-02,Underweight,PAPRI2020,no,1900-01-01,False
GEN-0027,Gentoo,48.51,14.31,214.1,3842.084374791102,Adult,MALE,Biscoe West,Biscoe,2024-07-11,UNKNOWN,PAPRI2024,yes,2024-07-06,False
GEN-0028,Gentoo,49.13,16.04,199.315,5144.0,Adult,MALE,Biscoe West,Biscoe,2019-12-13,Critical,PAPRI2019,no,1900-01-01,False
UNKNOWN,Chinstrap,52.76,17.85,181.7,3546.0,Adult,MALE,Torgersen North,Shortcut,2024-01-05,Underweight,PAPRI2024,yes,2023-12-29,False
ADE-0023,Adelie,41.64,17.13,179.7,3890.0,Adult,MALE,Biscoe West,Biscoe,2021-05-23,Healthy,PAPRI2021,yes,2021-05-20,False
GEN-0029,Gentoo,49.99,13.0,218.4,5574.0,Adult,MALE,Torgersen North,UNKNOWN,2020-03-10,UNKNOWN,PAPRI2020,yes,2020-02-29,False
ADE-0024,Adelie,39.25,19.25,184.3,3401.0,Adult,FEMALE,Dream South,Dream,2022-04-29,Healthy,PAPRI2022,yes,2022-04-17,False
CHN-0026,Chinstrap,46.21,21.0,207.19,3932.816896300722,Adult,FEMALE,Shortcut Point,Shortcut,2021-09-07,Underweight,PAPRI2021,yes,2021-09-01,False
GEN-0030,Gentoo,44.23,13.82,226.1,3776.2788037227256,Adult,FEMALE,Torgersen North,Torgersen,2024-07-13,Healthy,PAPRI2024,no,1900-01-01,False
UNKNOWN,Chinstrap,52.22,17.68,194.1,3217.0,Adult,FEMALE,Biscoe West,Biscoe,2021-04-15,Sick,PAPRI2021,yes,2021-04-04,False
CHN-0027,Chinstrap,47.39,17.62,202.7,4160.818973864057,Adult,MALE,Dream South,Cormorant,2021-01-14,Overweight,PAPRI2021,yes,2021-01-04,False
UNKNOWN,Adelie,40.62,21.0,185.0,3327.0,Adult,MALE,Biscoe West,Biscoe,2023-06-12,Healthy,PAPRI2023,yes,2023-06-11,True
UNKNOWN,Gentoo,48.01,15.8,211.7,3867.0,UNKNOWN,FEMALE,UNKNOWN,Biscoe,2023-11-08,Underweight,PAPRI2023,no,1900-01-01,False
GEN-0031,Gentoo,48.34,13.45,230.0,3842.084374791102,Juvenile,MALE,Dream South,Dream,2024-08-29,Healthy,PAPRI2024,yes,2024-08-15,False
CHN-0028,Chinstrap,54.68,21.0,197.5,3073.0,Juvenile,MALE,Cormorant East,Cormorant,2022-06-13,Underweight,UNKNOWN,yes,2022-05-31,False
UNKNOWN,Chinstrap,55.01,20.19,207.2,3713.0,Adult,MALE,Cormorant East,Cormorant,2024-07-27,Overweight,PAPRI2024,no,1900-01-01,False
UNKNOWN,Gentoo,47.23,15.74,230.0,3842.084374791102,Adult,MALE,Dream South,Dream,2022-04-19,Healthy,PAPRI2022,yes,2022-04-15,True
UNKNOWN,Gentoo,47.03,17.485,210.9,4555.0,Adult,MALE,Dream South,Dream,2022-05-23,Underweight,UNKNOWN,yes,2022-05-20,False
GEN-0032,Gentoo,46.81,17.485,224.6,3609.934899238799,Adult,MALE,Torgersen North,Torgersen,2021-06-10,UNKNOWN,PAPRI2021,yes,2021-06-10,False
UNKNOWN,Adelie,38.1,16.15,188.4,3799.0,Adult,MALE,Dream South,Dream,2021-12-04,Healthy,PAPRI2021,yes,2021-11-23,False
UNKNOWN,Gentoo,49.91,14.61,199.315,4262.0,Adult,MALE,Shortcut Point,Shortcut,1900-01-01,Underweight,PAPRI2020,yes,2020-07-30,True
UNKNOWN,Chinstrap,45.16668133802817,16.73,214.0,3533.0,UNKNOWN,FEMALE,Biscoe West,Biscoe,1900-01-01,UNKNOWN,PAPRI2020,yes,2020-12-05,True
CHN-0029,Chinstrap,46.22,20.68,195.2,3750.0,Adult,MALE,Torgersen North,Torgersen,2023-05-13,Healthy,PAPRI2023,yes,2023-05-10,False
UNKNOWN,Adelie,33.49,17.58,185.4,3284.91,Adult,MALE,Shortcut Point,Shortcut,2023-05-07,Overweight,PAPRI2023,yes,2023-05-07,False
CHN-0030,Chinstrap,53.38,14.25,181.5,2843.7204149815757,Juvenile,MALE,Torgersen North,Torgersen,2020-02-18,Underweight,PAPRI2020,yes,2020-02-09,False
ADE-0026,Adelie,37.87,17.84,180.9,2773.0,Juvenile,MALE,Cormorant East,Cormorant,2024-03-03,UNKNOWN,PAPRI2024,yes,2024-02-19,False
ADE-0027,Adelie,37.82,18.39,193.2,3468.0,Adult,MALE,Shortcut Point,Shortcut,2020-05-13,Underweight,PAPRI2020,yes,2020-05-13,False
CHN-0031,Chinstrap,49.92,17.485,192.3,3240.0,Juvenile,MALE,Cormorant East,Cormorant,2021-03-27,Overweight,PAPRI2021,yes,2021-03-16,False
ADE-0028,Adelie,37.85,18.06,195.3,3418.0,Adult,MALE,Dream South,Dream,2020-05-11,Healthy,PAPRI2020,yes,2020-05-02,False
UNKNOWN,Adelie,43.94,17.485,170.0,3885.0,Adult,MALE,Biscoe West,Biscoe,2021-06-09,Healthy,PAPRI2021,yes,2021-06-09,False
CHN-0032,Chinstrap,43.29,21.0,187.3,3267.0,Adult,FEMALE,Biscoe West,Cormorant,1900-01-01,UNKNOWN,PAPRI2020,yes,2020-02-26,True
UNKNOWN,Adelie,45.16668133802817,19.31,181.7,4226.0,Adult,MALE,Torgersen North,Cormorant,2023-09-28,Healthy,PAPRI2023,yes,2023-09-20,False
UNKNOWN,Chinstrap,43.01,17.63,202.8,3875.0,Chick,MALE,UNKNOWN,UNKNOWN,2024-07-12,Healthy,PAPRI2024,yes,2024-07-04,False
UNKNOWN,Gentoo,46.41,14.73,218.8,3659.8649709823567,Adult,MALE,Cormorant East,Cormorant,2022-01-25,Healthy,PAPRI2022,yes,2022-01-19,False
UNKNOWN,Gentoo,46.63,14.3,209.3,5040.0,Adult,MALE,Torgersen North,UNKNOWN,2021-11-05,Healthy,PAPRI2021,yes,2021-10-29,False
ADE-0029,Adelie,39.33,16.93,192.7,2500.0,Chick,FEMALE,Torgersen North,UNKNOWN,2024-04-19,UNKNOWN,UNKNOWN,yes,2024-04-11,False
GEN-0034,Gentoo,46.09,17.485,222.42,4277.0,Juvenile,FEMALE,Dream South,Dream,1900-01-01,UNKNOWN,PAPRI2024,yes,2024-08-08,False
GEN-0035,Gentoo,41.98,13.26,213.3,5697.91375493618,Juvenile,MALE,Dream South,Dream,2020-08-12,UNKNOWN,PAPRI2020,yes,2020-08-11,False
CHN-0033,UNKNOWN,47.65,18.82,199.315,3886.0,Adult,MALE,Cormorant East,UNKNOWN,2022-12-19,Overweight,PAPRI2022,yes,2022-12-11,False
UNKNOWN,Gentoo,44.73,17.485,211.1,5150.0,Adult,FEMALE,Biscoe West,Biscoe,2019-11-29,Healthy,UNKNOWN,yes,2019-11-25,True
CHN-0034,Chinstrap,55.67,18.01,196.7,2856.0,Juvenile,FEMALE,Dream South,Dream,1900-01-01,Underweight,PAPRI2020,yes,2020-02-20,False
UNKNOWN,Adelie,37.25,17.485,206.6,2790.0,Juvenile,FEMALE,Dream South,Biscoe,1900-01-01,Underweight,UNKNOWN,yes,2020-08-06,True
GEN-0036,Gentoo,46.44,15.09,218.1,5109.0,Adult,MALE,UNKNOWN,Biscoe,2023-07-12,Healthy,PAPRI2023,yes,2023-07-06,False
CHN-0035,Chinstrap,58.47,17.485,201.0,3696.0,Adult,MALE,Biscoe West,Biscoe,2021-09-06,Healthy,UNKNOWN,yes,2021-08-27,False
GEN-0037,Gentoo,44.24,15.92,199.315,5185.0,Adult,FEMALE,Dream South,Dream,2023-02-09,Critical,PAPRI2020,yes,2023-02-06,False
